,renderedContent
79,I rated Super Pets (2022) 6/10 #IMDb probably more coherent than a lot of the usual DC stuff. imdb.com/title/tt8912936
80,I rated Ratched (2020– ) 8/10 #IMDb imdb.com/title/tt7423538
81,"I rated Body Double 6.5/10 
#IMDb imdb.com/title/tt008698…"
82,"I rated Motel Hell (1980) 5/10 #IMDb

#isod challenge starting with this from my unseen list. Odd, dark, funny, weird! Strong ending, weak middle  imdb.com/title/tt0081184"
83,I rated Vinland Saga: For the Love That Was Lost (S2.E12) 10/10 #IMDb أقسم بالله حلقة عظيمة imdb.com/title/tt264204…
84,I rated The Big Short (2015) 9/10 #IMDb imdb.com/title/tt1596363
85,"Some American soldiers gets isekai’d into a world full of monsters. Yeah.

I rated Monster Hunter (2020) 4/10 #IMDb imdb.com/title/tt6475714"
86,"Not had imo

I rated Barbarian (2022) 5/10 #IMDb imdb.com/title/tt157910…"
87,"Theres better indo horror out there, imo

I rated Qorin (2022) 3/10 #IMDb imdb.com/title/tt193671…"
88,I rated Black Swan (2010) 8/10 #IMDb  imdb.com/title/tt0947798
89,I rated Barbarian (2022) 7/10 #IMDb  imdb.com/title/tt157910…
90,I rated The Soong Sisters 「宋家の三姉妹」 (1997) 7/10 #IMDb imdb.com/title/tt0120164
91,"I rated Predestination (2014) 8/10 #IMDb “Which came first: the chicken or the egg?”
فيلم رائع من أفلام السفر عبر الزمن الجميلة، وتصوير رائع لـ Predestination Paradox ومثير جداً جداً للدهشة.  imdb.com/title/tt2397535"
92,I rated Super Mario Bros. Filmen (2023) 7/10 #IMDb imdb.com/title/tt6718170
93,I rated The Deep House (2021) 6/10 #IMDb @IMDb #StarPlusLA #StarPlusLASBT @StarPlusLA #TheDeepHouse #TheDeepHouseSBT  imdb.com/title/tt116864…
94,I rated Peaky Blinders (2013–2022) 7/10 #IMDb imdb.com/title/tt2442560
95,"نهاية سلسلة الـX-MEN ونهاية جميلة لشخصية Wolverine العظيمة✨.
I rated Logan (2017) 9/10 #IMDb  imdb.com/title/tt3315342"
96,I rated The Consultant (2023– ) 6/10 #IMDb imdb.com/title/tt161527…
97,I rated Swarm: Running Scared (S1.E4) 8/10  #IMDb imdb.com/title/tt209473…
98,"I rated Creed (2015) 10/10  #IMDb
Yet another sylvester stallone’s ‘Rockey’ legacy! 🫶🏽  imdb.com/title/tt3076658"
99,"Epic. Really great memories came while i was watching , enjoyed every minute of it. Ps the sounds and cinematography was absolutely amazing and joy to watched 💙

I rated The Last Kingdom: Seven Kings Must Die (2023) 9/10  #IMDb imdb.com/title/tt157678…"
100,I rated Dreamer: Inspired by a True Story (2005) 9/10 #IMDb imdb.com/title/tt0418647
101,I rated Boston Strangler (2023) 6/10 #IMDb @IMDb #StarPlusLA #StarPlusLASBT @StarPlusLA #BostonStrangler #BostonStranglerSBT  imdb.com/title/tt2560078
102,I rated Black Adam (2022) 6/10 #IMDb imdb.com/title/tt6443346
103,I rated Shehzada (2023) 1/10 #IMDb. Very poor exact copy of Ala V. KA could never become AA and he proved it. Very bad choice by KA to remake this movie. imdb.com/title/tt131309…
104,I rated Raymond &amp; Ray (2022) 7/10  #IMDb imdb.com/title/tt153340…
105,I rated The Worst Person in the World (2021) 5/10 #IMDb  imdb.com/title/tt103707…
106,I rated Fargo: Morton's Fork (S1.E10) 9/10 #IMDb صدمة مستحيل اصدق انها احداث حقيقية  imdb.com/title/tt3599918
107,"توقعت راح أشوف حلقة تستحق 10/10 -كما في موقع IMDb- لكن الصدمة أنها لا تستحق كل هالضجة، أتفق تمامًا أنها حلقة جميلة وأبعادها درامية بحته، لكن مستوى الإثارة والسيناريو كان من الممكن يكون أفضل من كذا..

I rated Succession: Connor's Wedding (S4.E3) 8/10 #IMDb  imdb.com/title/tt211519…"
108,I rated Atlanta: Teddy Perkins (S2.E6) 10/10 #IMDb  imdb.com/title/tt7629358
109,I rated Ted Lasso: Signs (S3.E5) 8/10 #IMDb @IMDb #TedLasso @TedLasso #TedLassoSBT #AppleTVPlus @AppleTVPlus #AppleTVPlusSBT  imdb.com/title/tt196558…
110,I rated Ted Lasso: Big Week (S3.E4) 9/10 #IMDb @IMDb #TedLasso @TedLasso #TedLassoSBT #AppleTVPlus @AppleTVPlus #AppleTVPlusSBT  imdb.com/title/tt196559…
111,I rated The Last: Naruto the Movie (2014) 9/10 #IMDb imdb.com/title/tt3717532
112,I rated The Super Mario Bros. Movie (2023) 8/10 #IMDb imdb.com/title/tt6718170
113,I rated American Manhunt: The Boston Marathon Bombing (2023–2023) 8/10 #IMDb imdb.com/title/tt271420…
114,I rated Succession: All the Bells Say (S3.E9) 9/10 #IMDb wow !! 🤯 imdb.com/title/tt154231…
115,I rated Smile (2022) 6/10 #IMDb  imdb.com/title/tt154749…
116,I rated M3gan (2022) 6/10 #IMDb imdb.com/title/tt8760708
117,I rated Smaller and Smaller Circles (2017) 7/10 #IMDb imdb.com/title/tt7512304
118,I rated Koukyuu no Karasu (2022– ) 5/10 #IMDb imdb.com/title/tt211970…
119,I rated Clueless (1995) 7/10  #IMDb  imdb.com/title/tt0112697
120,I rated The Pope's Exorcist (2023) 6/10 #IMDb imdb.com/title/tt133750…
121,I rated Godzilla (2014) 6/10 #IMDb there’s some spectacular sequences in this but also a whole lot of dreary stuff. imdb.com/title/tt0831387
122,I rated Everything Everywhere All at Once (2022) 8/10 #IMDb imdb.com/title/tt6710474
123,I rated 65 (2023) 4/10 #IMDb  imdb.com/title/tt122617…
124,I rated Hunter x Hunter: The Last Mission (2013) 8/10 #IMDb imdb.com/title/tt3198698
125,I rated The Last Kingdom: Seven Kings Must Die (2023) 10/10  #IMDb imdb.com/title/tt157678…
126,I rated The Pope's Exorcist (2023) 6/10 #IMDb imdb.com/title/tt133750…
127,"Thoroughly enjoyed this …
Very much in the 24 Bauer mould …

Let’s see more of Agent Sutherland ..
( the new one that is )

9/10 I rated The Night Agent (2023– ) 9/10 #IMDb imdb.com/title/tt139187…"
128,I rated Tamirhane (2022) 6/10 #IMDb imdb.com/title/tt212150…
129,"رحت من هوليوود للسينما الفرنسية ولقيتهم يتكلمون عن اليىهود، هربت للسينما الانجليزية ولقيت يىهودي هنا بعد؟؟

بس فلم جميل وقدر ينعش شي فيني للأمانة والله ماقد خذلتني أفلامهم أبد 🥹

I rated Chariots of Fire (1981) 8/10 #IMDb imdb.com/title/tt0082158"
130,I rated Shazam! Fury of the Gods (2023) 5/10 #IMDb imdb.com/title/tt101518…
131,I rated Ant-Man and the Wasp: Quantumania (2023) 10/10 #IMDb imdb.com/title/tt109546…
132,I rated Babylon (2022) 8/10 #IMDb imdb.com/title/tt106403…
133,I rated Shazam! Fury of the Gods (2023) 10/10 #IMDb imdb.com/title/tt101518…
134,I rated 65 (2023) 10/10 #IMDb imdb.com/title/tt122617…
135,I rated Dungeons &amp; Dragons: Honor Among Thieves (2023) 10/10 #IMDb imdb.com/title/tt2906216
136,I rated #Suzume (2022) 10/10 #IMDb  imdb.com/title/tt164282…
137,I rated The Last Kingdom: Seven Kings Must Die (2023) 10/10 #IMDb imdb.com/title/tt157678…
138,I rated Everything Everywhere All at Once (2022) 7/10 #IMDb imdb.com/title/tt6710474
139,I rated The Lodge (2008) 4/10 #IMDb low budget and not good. imdb.com/title/tt0475323
140,I rated Создавая Убийцу (2015–2018) 10/10 #IMDb это просто ядерный разрыв пизды максимально допустимого уровня imdb.com/title/tt5189670
141,I rated Earthfall (2015) 2/10 #IMDb imdb.com/title/tt3630556
142,I rated Renfield (2023) 6/10 #IMDb It’s an odd mix of styles and genres - some of it works and some doesn’t. Cage is brilliantly campy and tears up the scenery.  imdb.com/title/tt113583…
143,"I rated The Last Kingdom: Seven Kings Must Die (2023) 9/10 #IMDb
نهايه عظيمه ❤️ imdb.com/title/tt157678…"
144,I rated Shazam! Fury of the Gods (2023) 6/10 #IMDb imdb.com/title/tt101518…
145,I rated The Night Manager (2016–2016) 7/10 #IMDb imdb.com/title/tt1399664
146,I rated Vidnet (1985) 6/10 #IMDb imdb.com/title/tt0090329
147,I rated This Is Us (2016–2022) 10/10  #IMDb Here we are 🥲❤️❤️❤️❤️ imdb.com/title/tt5555260
148,I rated Blind Dating (2006) 5/10 #IMDb didn’t really see the point of this one 😎 imdb.com/title/tt0454084
149,I rated Nobody (2021) 7/10 #IMDb imdb.com/title/tt7888964
150,I rated Troja (2004) 6/10 #IMDb imdb.com/title/tt0332452
151,I rated Grease: Rise of the Pink Ladies (2023– ) 8/10 #IMDb imdb.com/title/tt111273…
152,I rated Me Time (2022) 2/10 #IMDb imdb.com/title/tt143094…
153,I rated Defiance (2008) 7/10 #IMDb brutal true story WW2 drama. imdb.com/title/tt1034303
154,"عجبني بس الجزء السابق اجمل🧍‍♂️.
I rated X-Men: Days of Future Past (2014) 8.5/10 #IMDb imdb.com/title/tt1877832"
155,I rated The Super Mario Bros. Movie (2023) 9/10 #IMDb imdb.com/title/tt6718170
156,"I rated The Fast Kill (1972) 5/10 #IMDb

Not the best copy. Car chase is great. ⁦@VideoArchives⁩  imdb.com/title/tt0068574"
157,I rated The Best offer (2013) 8/10 #IMDb imdb.com/title/tt1924396
158,"دوي لاااا 😭💔💔💔💔💔💔💔
I rated Scream (2022) 7/10 #IMDb imdb.com/title/tt112459…"
159,I rated Шазам! Ярость богов (2023) 6/10  #IMDb imdb.com/title/tt101518…
160,I rated (2007) 3/10 #IMDb #MaVieNestPasUneComedieRomantique #french #romcom #netflix  imdb.com/title/tt0910911
161,I rated #OldBoys (2018) 4/10 #IMDb #british #drama #svtplay imdb.com/title/tt5724948
162,"I rated Hunter x Hunter: Zero × and × Rose (S1.E126) 10/10 #IMDb 
بعيد الحلقه اليوم مره ثانيه 🤯🤯🤯🤯🤯 imdb.com/title/tt3673600"
163,I rated The Last Kingdom: Seven Kings Must Die (2023) 10/10 #IMDb  imdb.com/title/tt157678…
164,I rated The Apartment (1960) 8/10 #IMDb imdb.com/title/tt0053604
165,I rated The Last Dance (2020–2020) 10/10 #IMDb imdb.com/title/tt8420184
166,I rated The Royal Tenenbaums (2001) 6/10 #IMDb imdb.com/title/tt0265666
167,I rated The Unbearable Weight of Massive Talent (2022) 7/10 #IMDb imdb.com/title/tt112912…
168,"Nicholas Cage and Nicholas Hoult in a cheesy, over-the-top, gory Dracula movie! What’s not to love? 

This was a fun B-Grade horror flick. Buy a big tub of popcorn! 🍿

I rated #Renfield (2023) 7/10 #IMDb imdb.com/title/tt113583…"
169,I rated JoJo's Bizarre Adventure: Tawâ obu Gurê (S2.E4) 7/10 #IMDb  imdb.com/title/tt3700142
170,I rated The Osterman Weekend (1983) 3/10 #IMDb imdb.com/title/tt0086058
171,I rated Howards End (1992) 9/10 #IMDb imdb.com/title/tt0104454
172,Not for me…I rated Todo a la vez en todas partes (2022) 2/10 #IMDb imdb.com/title/tt6710474
173,I rated Renfield (2023) 7/10 #IMDb imdb.com/title/tt113583…
174,I rated Almost Famous (2000) 8/10 #IMDb imdb.com/title/tt0181875
175,"جميل اللعنة✨
I rated X: First Class (2011) 8.5/10 #IMDb  imdb.com/title/tt1270798"
176,"Міцна поліцейська драма, давно таких не завозили.

I rated Blue Lights (2023– ) 9/10 #IMDb imdb.com/title/tt144660…"
177,I rated Inside (2023) 5/10 #IMDb imdb.com/title/tt147810…
178,"الله يلعىن اليهود

I rated Goodbye, Children (1987) 8/10 #IMDb imdb.com/title/tt0092593"
179,I rated The Super Mario Bros. Movie (2023) 7/10 #IMDb imdb.com/title/tt6718170
180,I rated The Lost King (2022) 7/10  #IMDb imdb.com/title/tt134214…
181,I rated Guy and Madeline on a Park Bench (2009) 6/10 #IMDb imdb.com/title/tt1337193
182,I rated Betting on Zero (2016) 9/10 #IMDb  imdb.com/title/tt3762912
183,I rated Plane (2023) 5/10 #IMDb imdb.com/title/tt5884796
184,I rated Operation Fortune: Ruse de Guerre (2023) 5/10 #IMDb imdb.com/title/tt7985704
185,I rated Tetris (2023) 10/10 #IMDb imdb.com/title/tt127580…
186,I rated La La Land (2016) 10/10 #IMDb imdb.com/title/tt3783958
187,"افضل جزء بالثلاثية ونهاية جميلة🧍‍♂️.
I rated X-Men: The Last Stand (2006) 8/10 #IMDb imdb.com/title/tt0376994"
188,"I rated Renfield (2023) 5/10 #IMDb While fun at times and boasting another classic Nicolas Cage performance, #RenfieldMovie is kinda disappointing with all the talent involved in front and behind the camera.  imdb.com/title/tt113583…"
189,I rated JoJo's Bizarre Adventure: Dio no jubaku (S2.E3) 7/10 #IMDb  imdb.com/title/tt3700144
190,I rated Everything Everywhere All at Once (2022) 7/10  #IMDb imdb.com/title/tt6710474
191,I rated Succession: Connor's Wedding (S4.E3) 10/10 #IMDb imdb.com/title/tt211519…
192,I rated Unutursam Fisilda (2014) 10/10 #IMDb imdb.com/title/tt4114744
193,I rated American Dad!: The Professor and the Coach (S18.E2) 3/10 #IMDb  imdb.com/title/tt271947…
194,I rated Succession: Connor's Wedding (S4.E3) 10/10 #IMDb  imdb.com/title/tt211519…
195,I rated The Night Agent: The Marionette (S1.E5) 7/10 #IMDb  اول مسلسل بالاجازه👌 imdb.com/title/tt150888…
196,"I rated Under Guardianship (2023) 8/10 #IMDb
imdb.com/title/tt274440…"
197,I rated The Offer (2022–2022) 9/10 #IMDb imdb.com/title/tt131110…
198,I rated The White Lotus (2021–2023) 8/10 #IMDb  imdb.com/title/tt134060…
199,I rated Wu-Tang: An American Saga (2019–2023) 8/10 #IMDb  imdb.com/title/tt9113406
200,I rated Waco: The Aftermath: Truths and Consequences (S1.E1) 6/10 #IMDb  imdb.com/title/tt198432…
201,I rated Mysterious Skin (2004) 8/10 #IMDb imdb.com/title/tt0370986
202,I rated Murder Mystery 2 (2023) 6/10 #IMDb imdb.com/title/tt152552…
203,I rated The Super Mario Bros. Movie (2023) 7/10 #IMDb imdb.com/title/tt6718170
204,I rated The Volcano: Rescue from Whakaari (2022) 7/10 #IMDb  imdb.com/title/tt214395…
205,I rated Into the Deep (2020) 6/10 #IMDb  imdb.com/title/tt113942…
206,I rated One Piece: Wan pîsu: Kanashiki Kettou: Luffy tai Sanji (Kouhen) (S1.E808) 10/10 #IMDb  imdb.com/title/tt7453430
207,"I rated The Boy, the Mole, the Fox and the Horse (2022) 9/10 #IMDb  imdb.com/title/tt226678…"
208,"I rated Eyes of Laura Mars 7/10 
#IMDb imdb.com/title/tt007753…"
209,I rated The Bear (2022– ) 9/10 #IMDb imdb.com/title/tt144527…
210,I rated Mouse (2021–2021) 7/10 #IMDb  imdb.com/title/tt136347…
211,I rated Glee: Furt (S2.E8) 10/10 #IMDb outstanding dudes!! #Glee  imdb.com/title/tt1628298
212,I rated Julie &amp; Julia (2009) 6/10 #IMDb imdb.com/title/tt1135503
213,I rated Metallica: 72 Seasons - Global Premiere (2023) 7/10 #IMDb imdb.com/title/tt273491…
214,I rated Succession: Connor's Wedding (S4.E3) 9/10 #IMDb ماغنفسنت imdb.com/title/tt211519…
215,I rated The Mandalorian: Chapter 23: The Spies (S3.E7) 7/10 #IMDb  imdb.com/title/tt138205…
216,I rated Bronca (2023– ) 10/10 #IMDb imdb.com/title/tt144031…
217,I rated Free Guy (2021) 1/10 #IMDb imdb.com/title/tt6264654
218,I rated Slither (2006) 6/10 #IMDb imdb.com/title/tt0439815
219,I rated Colin from Accounts (2022– ) 8/10 #IMDb imdb.com/title/tt182287…
220,I rated Snowfall: Ebony and Ivory (S6.E5) 9/10  #IMDb imdb.com/title/tt229001…
221,I rated Heon-teu (2022) 8/10 #IMDb imdb.com/title/tt6931658
222,I rated A Man Called Otto (2022) 6/10 #IMDb imdb.com/title/tt7405458
223,I rated Succession: Connor's Wedding (S4.E3) 10/10 #IMDb تمثيل الثلاثي جااااامد  imdb.com/title/tt211519…
224,I rated Tehran (2020– ) 7/10 #IMDb  imdb.com/title/tt105777…
225,I rated Succession: Connor's Wedding (S4.E3) 10/10 #IMDb imdb.com/title/tt211519…
226,I rated Dungeons &amp; Dragons: Honor Among Thieves (2023) 5/10 #IMDb imdb.com/title/tt2906216
227,I rated The Platform (2019) 7/10 #IMDb imdb.com/title/tt8228288
228,I rated Ostatnia wieczerza (2022) 4/10 #IMDb  imdb.com/title/tt197241…
229,"I rated Shazam! Fury of the Gods (2023) 5/10 #IMDb

Another mundane DC movie. Nothing bad, nothing great. Bit long. Was ok, will never watch again  imdb.com/title/tt101518…"
230,I rated Doctor Dolittle (1998) 6/10 #IMDb imdb.com/title/tt0118998
231,I rated Moon Knight (2022–2022) 7/10 #IMDb imdb.com/title/tt102347…
232,"Verdict on this.
Me and the boy = 8/10.
Claire and the girl = “minus 10000”
Not a great average.
I rated Everything Everywhere All at Once (2022) 8/10 #IMDb imdb.com/title/tt6710474"
233,I rated Beef (2023– ) 7/10 #IMDb imdb.com/title/tt144031…
234,I rated Inside (2023) 2/10 #IMDb imdb.com/title/tt147810…
235,I rated Mega Cyclone (2011) 6/10 #IMDb imdb.com/title/tt1887814
236,I rated When a Stranger Calls (1979) 7/10 #IMDb  imdb.com/title/tt0080130
237,I rated Interstate 60: Episodes of the Road (2002) 9/10 #IMDb imdb.com/title/tt0165832
238,I rated Palmer (2021) 7/10 #IMDb  imdb.com/title/tt6857376
239,"I rated Beef 9/10 #IMDb

اللي قاعدة تسويه الدراما الاسيوية شي لا يوصف ، دايماً يلمسون شي واقعي ويحطونه لك بقالب كوميدي اسود تحسسك فعلاً قد ايش اتفه الامور وش ممكن تسوي 

هالعمل بيكوش على كل جوايز السنة ، كتابة تمثيل واخراج ، وبكل استحقاق طبعاً لانه عبقري  imdb.com/title/tt144031…"
240,I rated Lilyhammer (2012–2014) 8/10 #IMDb imdb.com/title/tt1958961
241,I rated Tetris (2023) 8/10 #IMDb imdb.com/title/tt127580…
242,I rated Kung Fu (2021– ) 10/10  #IMDb imdb.com/title/tt7475590
243,I rated War Chod Na Yaar (2013) 3/10 #IMDb imdb.com/title/tt3129282
244,I rated The Fabelmans (2022) 9/10 #IMDb imdb.com/title/tt142088…
245,I rated Beauty and the Beast (2017) 7/10 #IMDb imdb.com/title/tt2771200
246,"روعة

I rated The Thing (1982) 9/10 #IMDb imdb.com/title/tt0084787"
247,I rated Camino (2023) 8/10 #IMDb imdb.com/title/tt241774…
248,I rated A Good Person (2023) 7/10 #IMDb imdb.com/title/tt141530…
249,I rated Super Mario Bros. Filmen (2023) 7/10 #IMDb klart sevärd för barnen men båda kidsen oberoende ”den va för kort” betyder väl nått.  imdb.com/title/tt6718170
250,I rated Blood Feast (1963) 6.5/10 #IMDb #BloodFeast #Horror #HorrorMovies #HorrorFamily #HorrorCommunity  imdb.com/title/tt0056875
251,I rated Chor Nikal Ke Bhaga (2023) 6/10 剧本还行，明显在强编故事；女主表演也还行，男主用力过猛，其他全是工具人；演员撑不起剧本，观众才会腻这样的神反转。大概和误杀瞒天记差了一个误杀吧，陈思诚们又有素材啦 #瞒天劫 #IMDb imdb.com/title/tt222978…
252,"I rated Death on the Nile (2022) 6/10 #IMDb (I love Agatha Christie but this was OK, pretty much average)  imdb.com/title/tt7657566"
253,I rated Succession: Connor's Wedding (S4.E3) 10/10 #IMDb imdb.com/title/tt211519…
254,I rated Extraction (2020) 6/10 #IMDb imdb.com/title/tt8936646
255,"I rated Horí, má panenko (1967) 7/10 #IMDb imdb.com/title/tt0061781"
256,I rated My Name is Mo'Nique (2023) 1/10 #IMDb imdb.com/title/tt213281…
257,I rated Stranger Than Fiction (2006) 9/10 #IMDb imdb.com/title/tt0420223
258,I rated Einstein and Eddington (2008) 7/10 #IMDb imdb.com/title/tt0995036
259,I rated Red Dragon (2002) 8/10 #IMDb imdb.com/title/tt0289765
260,I rated Creed III (2023) 7/10 #IMDb imdb.com/title/tt111451…
